Entity,Code,GDP per capita (constant 2015 US$)
Afghanistan,AFG,555.1389770507812
Albania,ALB,4544.51513671875
Algeria,DZA,4115.3955078125
American Samoa,ASM,11368.5693359375
Andorra,AND,39003.3828125
Angola,AGO,3458.650390625
Antigua and Barbuda,ATG,16786.447265625
Argentina,ARG,12712.970703125
Armenia,ARM,4350.46630859375
Australia,AUS,58781.046875
Austria,AUT,46669.75
Azerbaijan,AZE,5348.26513671875
Bahamas,BHS,32136.76171875
Bahrain,BHR,21317.333984375
Bangladesh,BGD,1603.95361328125
Barbados,BRB,16800.2109375
Belarus,BLR,6264.86083984375
Belgium,BEL,43071.10546875
Belize,BLZ,4701.04345703125
Benin,BEN,1201.5614013671875
Bermuda,BMU,107196.8125
Bhutan,BTN,3238.060546875
Bolivia,BOL,3317.370849609375
Bosnia and Herzegovina,BIH,5578.26611328125
Botswana,BWA,7027.04541015625
Brazil,BRA,8638.283203125
Brunei,BRN,30646.109375
Bulgaria,BGR,8234.78125
Burkina Faso,BFA,738.2188720703125
Burundi,BDI,278.3193664550781
Cambodia,KHM,1441.17919921875
Cameroon,CMR,1449.277587890625
Canada,CAN,45109.24609375
Cape Verde,CPV,3482.448486328125
Cayman Islands,CYM,83536.296875
Central African Republic,CAF,418.3155517578125
Chad,TCD,660.0699462890625
Chile,CHL,13866.9560546875
China,CHN,10155.41796875
Colombia,COL,6390.3681640625
Comoros,COM,1284.2864990234375
Congo,COG,1792.30712890625
Costa Rica,CRI,12735.0927734375
Cote d'Ivoire,CIV,2327.745361328125
Croatia,HRV,14068.044921875
Cuba,CUB,8031.03564453125
Curacao,CUW,18407.48046875
Cyprus,CYP,28211.064453125
Czechia,CZE,20202.15234375
Democratic Republic of Congo,COD,512.5863037109375
Denmark,DNK,57553.1328125
Djibouti,DJI,3278.52734375
Dominica,DMA,7914.1357421875
Dominican Republic,DOM,8314.3447265625
Ecuador,ECU,5853.81298828125
Egypt,EGY,3964.987060546875
El Salvador,SLV,3993.529052734375
Equatorial Guinea,GNQ,7373.59521484375
Estonia,EST,20408.435546875
Eswatini,SWZ,3833.246826171875
Ethiopia,ETH,799.7951049804688
Fiji,FJI,5869.02099609375
Finland,FIN,46135.078125
France,FRA,38912.33203125
Gabon,GAB,7116.0810546875
Gambia,GMB,714.0818481445312
Georgia,GEO,4773.42333984375
Germany,DEU,43329.05078125
Ghana,GHA,2053.586669921875
Greece,GRC,19003.828125
Greenland,GRL,48209.34765625
Grenada,GRD,10133.1318359375
Guam,GUM,35666.31640625
Guatemala,GTM,4254.03515625
Guinea,GIN,945.7693481445312
Guinea-Bissau,GNB,650.0693969726562
Guyana,GUY,6478.28759765625
Haiti,HTI,1373.883056640625
Honduras,HND,2482.1201171875
Hong Kong,HKG,44189.69140625
Hungary,HUN,15041.0986328125
Iceland,ISL,57818.859375
India,IND,1972.7578125
Indonesia,IDN,3877.383056640625
Iran,IRN,4785.02783203125
Iraq,IRQ,5154.27685546875
Ireland,IRL,75143.015625
Isle of Man,IMN,96105.3046875
Israel,ISR,38995.23046875
Italy,ITA,32090.994140625
Jamaica,JAM,5065.375
Japan,JPN,36362.35546875
Jordan,JOR,4133.5498046875
Kazakhstan,KAZ,11402.759765625
Kenya,KEN,1600.12841796875
Kiribati,KIR,1664.511474609375
Kosovo,OWID_KOS,4219.08056640625
Kuwait,KWT,27156.474609375
Kyrgyzstan,KGZ,1226.824462890625
Laos,LAO,2579.253662109375
Latvia,LVA,16056.03515625
Lebanon,LBN,6823.10400390625
Lesotho,LSO,1096.2169189453125
Liberia,LBR,650.4133911132812
Libya,LBY,5971.849609375
Lithuania,LTU,17241.255859375
Luxembourg,LUX,108570.03125
Macao,MAC,79747.4609375
Madagascar,MDG,488.9395446777344
Malawi,MWI,401.3926696777344
Malaysia,MYS,11414.5791015625
Maldives,MDV,10197.0927734375
Mali,MLI,815.3790893554688
Malta,MLT,27489.421875
Marshall Islands,MHL,3612.602294921875
Mauritania,MRT,1620.9949951171875
Mauritius,MUS,10643.771484375
Mexico,MEX,9820.4482421875
Micronesia (country),FSM,2921.145751953125
Moldova,MDA,3435.4775390625
Monaco,MCO,181709.34375
Mongolia,MNG,4394.98828125
Montenegro,MNE,7680.7412109375
Morocco,MAR,3044.90625
Mozambique,MOZ,598.8132934570312
Myanmar,MMR,1548.4566650390625
Namibia,NAM,4506.173828125
Nauru,NRU,8325.9013671875
Nepal,NPL,1069.7890625
Netherlands,NLD,48443.73046875
New Zealand,NZL,40315.47265625
Nicaragua,NIC,1984.8167724609373
Niger,NER,523.8842163085938
Nigeria,NGA,2502.65234375
North Macedonia,MKD,5386.2001953125
Northern Mariana Islands,MNP,18141.8828125
Norway,NOR,76005.2265625
Oman,OMN,16694.1328125
Pakistan,PAK,1489.653564453125
Palau,PLW,14754.603515625
Palestine,PSE,3378.4345703125
Panama,PAN,15073.0009765625
Papua New Guinea,PNG,2816.71875
Paraguay,PRY,5774.166015625
Peru,PER,6611.49267578125
Philippines,PHL,3664.790771484375
Poland,POL,15016.6728515625
Portugal,PRT,21617.412109375
Puerto Rico,PRI,30191.931640625
Qatar,QAT,59098.52734375
Romania,ROU,11221.7080078125
Russia,RUS,9942.3740234375
Rwanda,RWA,885.599609375
Saint Kitts and Nevis,KNA,21516.798828125
Saint Lucia,LCA,10914.5029296875
Saint Vincent and the Grenadines,VCT,7219.89208984375
Samoa,WSM,4502.92626953125
San Marino,SMR,44709.45703125
Sao Tome and Principe,STP,1672.8961181640625
