Entity,Code,Year,Life expectancy at birth (historical)
Afghanistan,AFG,63.6
Albania,ALB,79.3
Algeria,DZA,76.5
American Samoa,ASM,72.3
Andorra,AND,83.0
Angola,AGO,62.4
Antigua and Barbuda,ATG,78.7
Argentina,ARG,77.3
Armenia,ARM,75.4
Australia,AUS,83.1
Austria,AUT,81.9
Azerbaijan,AZE,73.1
Bahamas,BHS,71.2
Bahrain,BHR,80.0
Bangladesh,BGD,72.8
Barbados,BRB,77.3
Belarus,BLR,74.2
Belgium,BEL,81.8
Belize,BLZ,73.9
Benin,BEN,60.5
Bermuda,BMU,81.0
Bhutan,BTN,71.4
Bolivia,BOL,67.8
Bosnia and Herzegovina,BIH,77.2
Botswana,BWA,65.5
Brazil,BRA,75.3
Brunei,BRN,74.7
Bulgaria,BGR,75.1
Burkina Faso,BFA,60.0
Burundi,BDI,62.4
Cambodia,KHM,70.7
Cameroon,CMR,61.6
Canada,CAN,82.4
Cape Verde,CPV,76.0
Cayman Islands,CYM,75.1
Central African Republic,CAF,55.0
Chad,TCD,53.3
Chile,CHL,80.3
China,CHN,78.0
Colombia,COL,76.8
Comoros,COM,64.1
Congo,COG,62.7
Costa Rica,CRI,79.4
Cote d'Ivoire,CIV,59.3
Croatia,HRV,78.7
Cuba,CUB,77.6
Curacao,CUW,76.1
Cyprus,CYP,81.4
Czechia,CZE,79.2
Democratic Republic of Congo,COD,60.3
Denmark,DNK,81.4
Djibouti,DJI,63.1
Dominica,DMA,73.6
Dominican Republic,DOM,73.6
Ecuador,ECU,77.3
Egypt,EGY,71.4
El Salvador,SLV,72.6
Equatorial Guinea,GNQ,61.6
Estonia,EST,78.7
Eswatini,SWZ,60.5
Ethiopia,ETH,65.8
Fiji,FJI,67.9
Finland,FIN,81.9
France,FRA,82.7
Gabon,GAB,66.6
Gambia,GMB,63.8
Georgia,GEO,73.5
Germany,DEU,81.6
Ghana,GHA,64.7
Greece,GRC,81.2
Greenland,GRL,72.2
Grenada,GRD,74.9
Guam,GUM,77.7
Guatemala,GTM,73.1
Guinea,GIN,59.7
Guinea-Bissau,GNB,60.9
Guyana,GUY,69.1
Haiti,HTI,64.3
Honduras,HND,72.9
Hong Kong,HKG,85.3
Hungary,HUN,76.5
Iceland,ISL,82.4
India,IND,70.9
Indonesia,IDN,70.5
Iran,IRN,76.1
Iraq,IRQ,71.6
Ireland,IRL,82.3
Isle of Man,IMN,80.7
Israel,ISR,82.8
Italy,ITA,83.6
Jamaica,JAM,71.8
Japan,JPN,84.4
Jordan,JOR,76.0
Kazakhstan,KAZ,71.6
Kenya,KEN,62.9
Kiribati,KIR,67.1
Kosovo,OWID_KOS,79.0
Kuwait,KWT,79.7
Kyrgyzstan,KGZ,71.2
Laos,LAO,68.1
Latvia,LVA,75.5
Lebanon,LBN,79.2
Lesotho,LSO,54.2
Liberia,LBR,61.1
Libya,LBY,72.5
Lithuania,LTU,76.2
Luxembourg,LUX,82.1
Macao,MAC,85.0
Madagascar,MDG,65.9
Malawi,MWI,64.1
Malaysia,MYS,75.8
Maldives,MDV,80.1
Mali,MLI,59.7
Malta,MLT,83.2
Marshall Islands,MHL,64.7
Mauritania,MRT,65.7
Mauritius,MUS,75.1
Mexico,MEX,74.2
Micronesia (country),FSM,71.1
Moldova,MDA,70.9
Monaco,MCO,86.5
Mongolia,MNG,71.8
Montenegro,MNE,77.0
Morocco,MAR,74.3
Mozambique,MOZ,61.2
Myanmar,MMR,66.6
Namibia,NAM,63.1
Nauru,NRU,63.5
Nepal,NPL,69.6
Netherlands,NLD,82.0
New Zealand,NZL,82.6
Nicaragua,NIC,74.1
Niger,NER,62.9
Nigeria,NGA,52.9
North Macedonia,MKD,77.3
Northern Mariana Islands,MNP,77.1
Norway,NOR,83.0
Oman,OMN,78.0
Pakistan,PAK,66.8
Palau,PLW,64.8
Palestine,PSE,75.2
Panama,PAN,77.8
Papua New Guinea,PNG,65.5
Paraguay,PRY,73.6
Peru,PER,76.2
Philippines,PHL,71.9
Poland,POL,77.9
Portugal,PRT,81.7
Puerto Rico,PRI,79.1
Qatar,QAT,81.0
Romania,ROU,76.5
Russia,RUS,73.9
Rwanda,RWA,66.4
Saint Kitts and Nevis,KNA,71.6
Saint Lucia,LCA,73.4
Saint Vincent and the Grenadines,VCT,72.8
Samoa,WSM,72.2
San Marino,SMR,83.0
Sao Tome and Principe,STP,68.5
Saudi Arabia,SAU,77.3
Senegal,SEN,68.5
Serbia,SRB,76.7
Seychelles,SYC,74.2
Sierra Leone,SLE,60.3
Singapore,SGP,83.8
Slovakia,SVK,77.7
Slovenia,SVN,81.6
Solomon Islands,SLB,70.4
Somalia,SOM,57.1
South Africa,ZAF,66.2
South Korea,KOR,83.7
Spain,ESP,83.5
Sri Lanka,LKA,76.0
Sudan,SDN,65.9
Suriname,SUR,72.2
Sweden,SWE,83.1
Switzerland,CHE,83.8
Syria,SYR,71.8
Tajikistan,TJK,70.9
Tanzania,TZA,67.0
Thailand,THA,79.0
Timor,TLS,68.3
Togo,TGO,60.9
Tonga,TON,70.9
Trinidad and Tobago,TTO,74.2
Tunisia,TUN,76.0
Turkey,TUR,77.8
Turkmenistan,TKM,69.0
Turks and Caicos Islands,TCA,75.3
Tuvalu,TUV,64.3
Uganda,UGA,63.0
Ukraine,UKR,74.5
United Arab Emirates,ARE,79.7
United Kingdom,GBR,81.7
United States,USA,79.1
United States Virgin Islands,VIR,75.1
Uruguay,URY,77.5
Uzbekistan,UZB,71.3
Vanuatu,VUT,69.9
Vietnam,VNM,74.1
World,OWID_WRL,72.8
Zambia,ZMB,62.8
Zimbabwe,ZWE,61.3
