Entity,Code,Year,"GDP (output, multiple price benchmarks)",GDP per capita (constant 2015 US$),Life_expectancy
Albania,ALB,2019,36103040000,4544.51513671875,79.3
Algeria,DZA,2019,507487550000,4115.3955078125,76.5
Angola,AGO,2019,227855710000,3458.650390625,62.4
Antigua and Barbuda,ATG,2019,1603854500,16786.447265625,78.7
Argentina,ARG,2019,977420550000,12712.970703125,77.3
Armenia,ARM,2019,43582575000,4350.46630859375,75.4
Australia,AUS,2019,1364677800000,58781.046875,83.1
Austria,AUT,2019,477705500000,46669.75,81.9
Azerbaijan,AZE,2019,159346000000,5348.26513671875,73.1
Bahamas,BHS,2019,12887391000,32136.76171875,71.2
Bahrain,BHR,2019,77077610000,21317.333984375,80.0
Bangladesh,BGD,2019,759470600000,1603.95361328125,72.8
Barbados,BRB,2019,3506668000,16800.2109375,77.3
Belarus,BLR,2019,204795350000,6264.86083984375,74.2
Belgium,BEL,2019,517419760000,43071.10546875,81.8
Belize,BLZ,2019,2186921700,4701.04345703125,73.9
Benin,BEN,2019,38295495000,1201.5614013671875,60.5
Bermuda,BMU,2019,3142393600,107196.8125,81.0
Bhutan,BTN,2019,8987999000,3238.060546875,71.4
Bolivia,BOL,2019,98835710000,3317.370849609375,67.8
Bosnia and Herzegovina,BIH,2019,45538427000,5578.26611328125,77.2
Botswana,BWA,2019,37975007000,7027.04541015625,65.5
Brazil,BRA,2019,3080048600000,8638.283203125,75.3
Brunei,BRN,2019,31737774000,30646.109375,74.7
Bulgaria,BGR,2019,149432420000,8234.78125,75.1
Burkina Faso,BFA,2019,43084153000,738.2188720703125,60.0
Burundi,BDI,2019,9109688000,278.3193664550781,62.4
Cambodia,KHM,2019,74190310000,1441.17919921875,70.7
Cameroon,CMR,2019,94487530000,1449.277587890625,61.6
Canada,CAN,2019,1866214900000,45109.24609375,82.4
Cape Verde,CPV,2019,3998619400,3482.448486328125,76.0
Cayman Islands,CYM,2019,4004115000,83536.296875,75.1
Central African Republic,CAF,2019,4642449000,418.3155517578125,55.0
Chad,TCD,2019,25755519000,660.0699462890625,53.3
Chile,CHL,2019,440683330000,13866.9560546875,80.3
China,CHN,2019,20257660000000,10155.41796875,78.0
Colombia,COL,2019,707659600000,6390.3681640625,76.8
Comoros,COM,2019,2730402600,1284.2864990234375,64.1
Congo,COG,2019,25057650000,1792.30712890625,62.7
Costa Rica,CRI,2019,93491830000,12735.0927734375,79.4
Cote d'Ivoire,CIV,2019,129491770000,2327.745361328125,59.3
Croatia,HRV,2019,107392040000,14068.044921875,78.7
Curacao,CUW,2019,3458310100,18407.48046875,76.1
Cyprus,CYP,2019,28053969000,28211.064453125,81.4
Czechia,CZE,2019,401072230000,20202.15234375,79.2
Democratic Republic of Congo,COD,2019,88673380000,512.5863037109375,60.3
Denmark,DNK,2019,311838000000,57553.1328125,81.4
Djibouti,DJI,2019,5970282000,3278.52734375,63.1
Dominica,DMA,2019,741614200,7914.1357421875,73.6
Dominican Republic,DOM,2019,192514500000,8314.3447265625,73.6
Ecuador,ECU,2019,195204020000,5853.81298828125,77.3
Egypt,EGY,2019,1210669700000,3964.987060546875,71.4
El Salvador,SLV,2019,52378770000,3993.529052734375,72.6
Equatorial Guinea,GNQ,2019,33510156000,7373.59521484375,61.6
Estonia,EST,2019,44876350000,20408.435546875,78.7
Eswatini,SWZ,2019,8987358000,3833.246826171875,60.5
