Entity,Code,Year,"GDP (output, multiple price benchmarks)"
Albania,ALB,2019,36103040000
Algeria,DZA,2019,507487550000
Angola,AGO,2019,227855710000
Antigua and Barbuda,ATG,2019,1603854500
Argentina,ARG,2019,977420550000
Armenia,ARM,2019,43582575000
Australia,AUS,2019,1364677800000
Austria,AUT,2019,477705500000
Azerbaijan,AZE,2019,159346000000
Bahamas,BHS,2019,12887391000
Bahrain,BHR,2019,77077610000
Bangladesh,BGD,2019,759470600000
Barbados,BRB,2019,3506668000
Belarus,BLR,2019,204795350000
Belgium,BEL,2019,517419760000
Belize,BLZ,2019,2186921700
Benin,BEN,2019,38295495000
Bermuda,BMU,2019,3142393600
Bhutan,BTN,2019,8987999000
Bolivia,BOL,2019,98835710000
Bosnia and Herzegovina,BIH,2019,45538427000
Botswana,BWA,2019,37975007000
Brazil,BRA,2019,3080048600000
Brunei,BRN,2019,31737774000
Bulgaria,BGR,2019,149432420000
Burkina Faso,BFA,2019,43084153000
Burundi,BDI,2019,9109688000
Cambodia,KHM,2019,74190310000
Cameroon,CMR,2019,94487530000
Canada,CAN,2019,1866214900000
Cape Verde,CPV,2019,3998619400
Cayman Islands,CYM,2019,4004115000
Central African Republic,CAF,2019,4642449000
Chad,TCD,2019,25755519000
Chile,CHL,2019,440683330000
China,CHN,2019,20257660000000
Colombia,COL,2019,707659600000
Comoros,COM,2019,2730402600
Congo,COG,2019,25057650000
Costa Rica,CRI,2019,93491830000
Cote d'Ivoire,CIV,2019,129491770000
Croatia,HRV,2019,107392040000
Curacao,CUW,2019,3458310100
Cyprus,CYP,2019,28053969000
Czechia,CZE,2019,401072230000
Democratic Republic of Congo,COD,2019,88673380000
Denmark,DNK,2019,311838000000
Djibouti,DJI,2019,5970282000
Dominica,DMA,2019,741614200
Dominican Republic,DOM,2019,192514500000
Ecuador,ECU,2019,195204020000
Egypt,EGY,2019,1210669700000
El Salvador,SLV,2019,52378770000
Equatorial Guinea,GNQ,2019,33510156000
Estonia,EST,2019,44876350000
Eswatini,SWZ,2019,8987358000
Ethiopia,ETH,2019,304937200000
Fiji,FJI,2019,12240178000
Finland,FIN,2019,248551540000
France,FRA,2019,2946958400000
Gabon,GAB,2019,33658085000
Gambia,GMB,2019,5655293000
Georgia,GEO,2019,68167483000
Germany,DEU,2019,4275312000000
Ghana,GHA,2019,163139160000
Greece,GRC,2019,284893600000
Grenada,GRD,2019,1721965700
Guatemala,GTM,2019,136605020000
Guinea,GIN,2019,29205352000
Guinea-Bissau,GNB,2019,3554279200
Guyana,GUY,2019,10184115000
Haiti,HTI,2019,17503060000
Honduras,HND,2019,52902540000
Hong Kong,HKG,2019,407575760000
Hungary,HUN,2019,283145140000
Iceland,ISL,2019,17972625000
India,IND,2019,9170555000000
Indonesia,IDN,2019,3137931000000
Iran,IRN,2019,1097856650000
Iraq,IRQ,2019,468582530000
Ireland,IRL,2019,501053600000
Israel,ISR,2019,328529540000
Italy,ITA,2019,2466327600000
Jamaica,JAM,2019,24867324000
Japan,JPN,2019,5036891000000
Jordan,JOR,2019,108987240000
Kazakhstan,KAZ,2019,525124080000
Kenya,KEN,2019,222738460000
Kuwait,KWT,2019,261068540000
Kyrgyzstan,KGZ,2019,39366726000
Laos,LAO,2019,54384284000
Latvia,LVA,2019,56079446000
Lebanon,LBN,2019,101120850000
Lesotho,LSO,2019,5727321000
Liberia,LBR,2019,6212169700
Lithuania,LTU,2019,89642180000
Luxembourg,LUX,2019,55710794000
Macao,MAC,2019,59874165000
Madagascar,MDG,2019,41507460000
Malawi,MWI,2019,21635066000
Malaysia,MYS,2019,822237400000
Maldives,MDV,2019,10306475000
Mali,MLI,2019,48087626000
Malta,MLT,2019,17134908000
Mauritania,MRT,2019,21162975000
Mauritius,MUS,2019,29758160000
Mexico,MEX,2019,2390322600000
Moldova,MDA,2019,38162604000
Mongolia,MNG,2019,38380400000
Montenegro,MNE,2019,13721467000
Morocco,MAR,2019,288999740000
Mozambique,MOZ,2019,37315924000
Myanmar,MMR,2019,278516300000
Namibia,NAM,2019,23331656000
Nepal,NPL,2019,103878740000
Netherlands,NLD,2019,950077950000
New Zealand,NZL,2019,198604600000
Nicaragua,NIC,2019,32886407000
Niger,NER,2019,28226435000
Nigeria,NGA,2019,1001537340000
North Macedonia,MKD,2019,32876157000
Norway,NOR,2019,396253900000
Oman,OMN,2019,152847930000
Pakistan,PAK,2019,1088502500000
Palestine,PSE,2019,36793782000
Panama,PAN,2019,126883185000
Paraguay,PRY,2019,86788555000
Peru,PER,2019,397821020000
Philippines,PHL,2019,913426800000
Poland,POL,2019,1211846200000
Portugal,PRT,2019,325160040000
Qatar,QAT,2019,323141140000
Romania,ROU,2019,540045740000
Russia,RUS,2019,4161194400000
Rwanda,RWA,2019,28783219000
Saint Kitts and Nevis,KNA,2019,1211703600
Saint Lucia,LCA,2019,2602488600
