ID,Living_area,Selling_price
1,104,4600000
2,99,4450000
3,133,4900000
4,175,6625000
5,118,4600000
6,133,6650000
7,70,2800000
8,134,6100000
9,70,3000000
10,133,3000000
11,121,4000000
12,136,4350000
13,86,3025000
14,135,5215000
15,130,4275000
16,104,4100000
17,66,3100000
18,129,5370000
19,75,3000000
20,160,4175000
21,87,3850000
22,182,6300000
23,135,5350000
24,100,4370000
25,202,4250000
26,136,4800000
27,185,5940000
28,153,6600000
29,135,5200000
30,73,3925000
31,120,4350000
32,122,5825000
33,63,2500000
34,150,6050000
35,210,6100000
36,108,4800000
37,111,4200000
38,72,3450000
39,170,6195000
40,142,6050000
41,170,1775000
42,120,5850000
43,107,4960000
44,135,5200000
45,145,6150000
46,168,2360000
47,69,2700000
48,170,5930000
49,160,6800000
50,170,4850000
51,158,5000000
52,103,4245000
53,148,5725000
54,139,5275000
55,118,4850000
56,159,4825000
